id,nombre,provincia,ccaa,codigo_ine,url_ayuntamiento,url_fuente_noticias,tipo_fuente,latitud,longitud,created_at
458,Gotarrendura,Ávila,Castilla y León,05087,https://www.gotarrendura.es,,,40.8264524,-4.7409463,2026-07-28 00:22:28.089249+00
459,Grandes y San Martín,Ávila,Castilla y León,05088,https://www.grandesysanmartin.es,,,40.7624112,-4.9692669,2026-07-28 00:22:29.874704+00
460,Guisando,Ávila,Castilla y León,05089,https://www.guisando.es,,,40.2223453,-5.1402931,2026-07-28 00:22:31.798534+00
461,Gutierre-Muñoz,Ávila,Castilla y León,05090,https://www.gutierremunoz.es,,,40.9832104,-4.6384392,2026-07-28 00:22:33.397239+00
462,Hernansancho,Ávila,Castilla y León,05092,https://www.hernansancho.es,,,40.8588326,-4.7289356,2026-07-28 00:22:34.949658+00
463,Herradón de Pinares,Ávila,Castilla y León,05093,https://www.herradondepinares.es,,,40.5651308,-4.5591353,2026-07-28 00:22:36.681587+00
464,Herreros de Suso,Ávila,Castilla y León,05094,https://www.herrerosdesuso.es,,,40.8028245,-5.0381386,2026-07-28 00:22:38.467834+00
465,Higuera de las Dueñas,Ávila,Castilla y León,05095,https://www.higueradelasduenas.es,,,40.2395323,-4.6032406,2026-07-28 00:22:40.232619+00
466,"Hija de Dios, La",Ávila,Castilla y León,05096,https://www.lahijadedios.es,,,40.5328807,-4.9699509,2026-07-28 00:22:41.860092+00
467,"Horcajada, La",Ávila,Castilla y León,05097,https://www.lahorcajada.es,,,40.4374302,-5.465489,2026-07-28 00:22:43.587282+00
468,Horcajo de las Torres,Ávila,Castilla y León,05099,https://www.horcajodelastorres.es,,,41.0648585,-5.0904405,2026-07-28 00:22:45.271355+00
469,"Hornillo, El",Ávila,Castilla y León,05100,https://www.elhornillo.es,,,40.6447756,-4.201557,2026-07-28 00:22:46.970892+00
470,"Hoyo de Pinares, El",Ávila,Castilla y León,05102,https://www.elhoyodepinares.es,,,40.5023439,-4.4224516,2026-07-28 00:22:48.953469+00
471,Hoyocasero,Ávila,Castilla y León,05101,https://www.hoyocasero.es,,,40.399228,-4.9744064,2026-07-28 00:22:50.870108+00
472,Hoyorredondo,Ávila,Castilla y León,05103,https://www.hoyorredondo.es,,,40.462617,-5.4110418,2026-07-28 00:22:52.79355+00
473,Hoyos de Miguel Muñoz,Ávila,Castilla y León,05106,https://www.hoyosdemiguelmunoz.es,,,40.3927895,-5.0670333,2026-07-28 00:22:54.733717+00
474,Hoyos del Collado,Ávila,Castilla y León,05104,https://www.hoyosdelcollado.es,,,40.3593184,-5.2003576,2026-07-28 00:22:56.339766+00
475,Hoyos del Espino,Ávila,Castilla y León,05105,https://www.hoyosdelespino.net,,,40.3566677,-5.1752836,2026-07-28 00:22:58.00284+00
476,Hurtumpascual,Ávila,Castilla y León,05107,https://www.hurtumpascual.es,,,40.691812,-5.1129965,2026-07-28 00:22:59.662888+00
477,Junciana,Ávila,Castilla y León,05108,https://www.junciana.es,,,40.4112728,-5.5568204,2026-07-28 00:23:01.277048+00
478,Langa,Ávila,Castilla y León,05109,https://www.langa.es,,,41.0076625,-4.8587225,2026-07-28 00:23:03.383014+00
479,Lanzahíta,Ávila,Castilla y León,05110,https://ayuntamientolanzahita.com,,,40.205933,-4.9345405,2026-07-28 00:23:05.539828+00
480,"Llanos de Tormes, Los",Ávila,Castilla y León,05113,https://www.losllanosdetormes.es,,,40.3273429,-5.5007369,2026-07-28 00:23:07.454306+00
481,"Losar del Barco, El",Ávila,Castilla y León,05112,https://www.ellosardelbarco.es,,,40.3917724,-5.5374812,2026-07-28 00:23:09.333862+00
482,Madrigal de las Altas Torres,Ávila,Castilla y León,05114,https://www.madrigaldelasaltastorres.es,,,41.0895339,-4.9994857,2026-07-28 00:23:11.319402+00
483,Maello,Ávila,Castilla y León,05115,https://www.maello.es,,,40.8088827,-4.5098,2026-07-28 00:23:13.226548+00
484,Malpartida de Corneja,Ávila,Castilla y León,05116,https://www.malpartidadecorneja.es,,,40.5219022,-5.3491147,2026-07-28 00:23:15.254146+00
485,Mamblas,Ávila,Castilla y León,05117,https://www.mamblas.es,,,41.020283,-5.0110468,2026-07-28 00:23:17.227843+00
486,Mancera de Arriba,Ávila,Castilla y León,05118,https://www.manceradearriba.es,,,40.7915374,-5.1471584,2026-07-28 00:23:20.259074+00
487,Manjabálago y Ortigosa de Rioalmar,Ávila,Castilla y León,05119,https://www.manjabalagoyortigosaderioalmar.es,,,,,2026-07-28 00:23:21.968751+00
488,Marlín,Ávila,Castilla y León,05120,https://www.marlin.es,,,40.7113678,-4.8295264,2026-07-28 00:23:23.991465+00
489,Martiherrero,Ávila,Castilla y León,05121,https://www.martiherrero.es,,,40.6752873,-4.779996,2026-07-28 00:23:25.936724+00
490,Martínez,Ávila,Castilla y León,05122,https://www.martinez.es,,,40.6299978,-5.3477831,2026-07-28 00:23:28.089892+00
491,Mediana de Voltoya,Ávila,Castilla y León,05123,https://www.medianadevoltoya.es,,,40.6999367,-4.5628709,2026-07-28 00:23:30.163156+00
492,Medinilla,Ávila,Castilla y León,05124,https://www.medinilla.es,,,40.4399962,-5.61824,2026-07-28 00:23:32.014153+00
493,Mengamuñoz,Ávila,Castilla y León,05125,https://www.mengamunoz.es,,,40.5009847,-4.9986341,2026-07-28 00:23:34.207023+00
494,Mesegar de Corneja,Ávila,Castilla y León,05126,https://www.mesegardecorneja.es,,,40.5014247,-5.3016483,2026-07-28 00:23:36.120609+00
495,Mijares,Ávila,Castilla y León,05127,https://www.mijares.es,,,40.2958062,-4.8369086,2026-07-28 00:23:38.030783+00
496,Mingorría,Ávila,Castilla y León,05128,https://www.mingorria.es,,,40.7515298,-4.665265,2026-07-28 00:23:40.217982+00
497,"Mirón, El",Ávila,Castilla y León,05129,https://www.elmiron.es,,,40.5751158,-5.3941849,2026-07-28 00:23:42.484271+00
498,Mironcillo,Ávila,Castilla y León,05130,https://www.mironcillo.es,,,40.5547207,-4.8237308,2026-07-28 00:23:44.375442+00
499,Mirueña de los Infanzones,Ávila,Castilla y León,05131,https://www.miruenadelosinfanzones.es,,,40.7370387,-5.0911915,2026-07-28 00:23:46.278856+00
500,Mombeltrán,Ávila,Castilla y León,05132,https://www.mombeltran.es,,,40.2594639,-5.0167649,2026-07-28 00:23:48.239651+00
501,Monsalupe,Ávila,Castilla y León,05133,https://www.monsalupe.es,,,40.7692472,-4.7812815,2026-07-28 00:23:50.517332+00
502,Moraleja de Matacabras,Ávila,Castilla y León,05134,https://www.moralejadematacabras.es,,,41.1072841,-4.9568853,2026-07-28 00:23:52.519814+00
503,Muñana,Ávila,Castilla y León,05135,https://www.munana.es,,,40.5908234,-5.0143472,2026-07-28 00:23:54.384013+00
504,Muñico,Ávila,Castilla y León,05136,https://www.munico.es,,,40.706948,-5.0273381,2026-07-28 00:23:56.648181+00
505,Muñogalindo,Ávila,Castilla y León,05138,https://www.munogalindo.es,,,40.6043441,-4.8982345,2026-07-28 00:23:58.685859+00
506,Muñogrande,Ávila,Castilla y León,05139,https://www.munogrande.es,,,40.8215974,-4.9215323,2026-07-28 00:24:00.572394+00
507,Muñomer del Peco,Ávila,Castilla y León,05140,https://www.munomerdelpeco.es,,,40.8592194,-4.8796903,2026-07-28 00:24:02.475984+00
508,Muñopepe,Ávila,Castilla y León,05141,https://www.munopepe.es,,,40.6346464,-4.8187637,2026-07-28 00:24:04.870432+00
509,Muñosancho,Ávila,Castilla y León,05142,https://www.munosancho.es,,,40.9209524,-5.0356572,2026-07-28 00:24:06.75561+00
510,Muñotello,Ávila,Castilla y León,05143,https://www.munotello.es,,,40.5418131,-5.0414952,2026-07-28 00:24:08.389513+00
511,Narrillos del Álamo,Ávila,Castilla y León,05144,https://www.narrillosdelalamo.es,,,40.5665587,-5.4659816,2026-07-28 00:24:10.146843+00
512,Narrillos del Rebollar,Ávila,Castilla y León,05145,https://www.narrillosdelrebollar.es,,,40.6649623,-4.9657629,2026-07-28 00:24:11.888324+00
513,Narros de Saldueña,Ávila,Castilla y León,05149,https://www.narrosdesalduena.es,,,40.8736443,-4.8684267,2026-07-28 00:24:14.224751+00
514,Narros del Castillo,Ávila,Castilla y León,05147,https://www.narrosdelcastillo.es,,,40.8581972,-5.059892,2026-07-28 00:24:15.859061+00
515,Narros del Puerto,Ávila,Castilla y León,05148,https://www.narrosdelpuerto.es,,,40.5416959,-4.9918307,2026-07-28 00:24:17.650863+00
516,Nava de Arévalo,Ávila,Castilla y León,05152,https://www.navadearevalo.es,,,40.9777641,-4.7766642,2026-07-28 00:24:19.53419+00
517,Nava del Barco,Ávila,Castilla y León,05153,https://www.navadelbarco.es,,,40.2946529,-5.5407808,2026-07-28 00:24:21.257898+00
518,Navacepedilla de Corneja,Ávila,Castilla y León,05151,https://www.navacepedilladecorneja.es,,,40.4858066,-5.1843419,2026-07-28 00:24:23.02509+00
519,Navadijos,Ávila,Castilla y León,05154,https://www.navadijos.es,,,40.4244908,-5.0825292,2026-07-28 00:24:24.747276+00
520,Navaescurial,Ávila,Castilla y León,05155,https://www.navaescurial.es,,,40.4720368,-5.2770456,2026-07-28 00:24:26.684955+00
521,Navahondilla,Ávila,Castilla y León,05156,https://www.navahondilla.es,,,40.3255013,-4.4933129,2026-07-28 00:24:28.427823+00
522,Navalacruz,Ávila,Castilla y León,05157,https://www.navalacruz.es,,,40.4398263,-4.9320303,2026-07-28 00:24:30.346014+00
523,Navalmoral,Ávila,Castilla y León,05158,https://www.navalmoral.es,,,40.4602967,-4.7662162,2026-07-28 00:24:32.426023+00
524,Navalonguilla,Ávila,Castilla y León,05159,https://www.navalonguilla.es,,,40.2785512,-5.500736,2026-07-28 00:24:34.438547+00
525,Navalosa,Ávila,Castilla y León,05160,https://www.navalosa.es,,,40.4019381,-4.9304373,2026-07-28 00:24:36.256912+00
526,Navalperal de Pinares,Ávila,Castilla y León,05161,http://navalperaldepinares.es,,,40.593737,-4.4106804,2026-07-28 00:24:38.201072+00
527,Navalperal de Tormes,Ávila,Castilla y León,05162,https://www.navalperaldetormes.es,,,40.3527558,-5.301196,2026-07-28 00:24:40.112428+00
528,Navaluenga,Ávila,Castilla y León,05163,https://aytonavaluenga.es,,,40.4101393,-4.7079974,2026-07-28 00:24:41.961813+00
529,Navaquesera,Ávila,Castilla y León,05164,https://www.navaquesera.es,,,40.4254949,-4.9108579,2026-07-28 00:24:43.696917+00
530,Navarredonda de Gredos,Ávila,Castilla y León,05165,https://www.navarredondadegredos.es,,,40.3619081,-5.1330863,2026-07-28 00:24:45.541748+00
531,Navarredondilla,Ávila,Castilla y León,05166,https://www.navarredondilla.es,,,40.4536784,-4.8223843,2026-07-28 00:24:47.586018+00
532,Navarrevisca,Ávila,Castilla y León,05167,https://www.navarrevisca.es,,,40.3641041,-4.8949471,2026-07-28 00:24:49.406121+00
533,"Navas del Marqués, Las",Ávila,Castilla y León,05168,https://lasnavasdelmarques.es,,,40.5891603,-4.3616197,2026-07-28 00:24:51.694125+00
534,Navatalgordo,Ávila,Castilla y León,05169,https://www.navatalgordo.es,,,40.4157234,-4.8718327,2026-07-28 00:24:53.685686+00
